2020-10-08 Thursday 22:40:37 $(filename)s : INFO this is a message
2020-10-08 Thursday 22:40:37 $(filename)s : INFO  * Restarting with stat
2020-10-08 Thursday 22:40:38 $(filename)s : INFO this is a message
2020-10-08 Thursday 22:40:38 $(filename)s : WARNING  * Debugger is active!
2020-10-08 Thursday 22:40:38 $(filename)s : INFO  * Debugger PIN: 187-904-191
2020-10-08 Thursday 22:40:38 $(filename)s : INFO  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (1, ('Python¿ª·¢¹¤³ÌÊ¦', '1-2Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '10-08·¢²¼'), 'ÉîÛÚÊÐÎÖÏí¿Æ¼¼ÓÐÏÞ¹«Ë¾±±¾©·Ö¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (344, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1.2Íò/ÔÂ', 'ÉÏº£', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£µãÕý»¥ÁªÍø¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (345, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÉÏº£', '2Äê¾­Ñé', '´ó×¨', '', ''), 'ÉîÛÚÇ°º£ÖÐÒÆ»ª½ÝÍ¶×Ê¹ÜÀíÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (346, ('python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', '¹ãÖÝ-»ÆÆÒÇø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐ2ÈË', '09-30·¢²¼'), 'ÉîÛÚºÉ»¨ÍøÂç¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (347, ('Python×Ô¶¯»¯²âÊÔ¹¤³ÌÊ¦', '', 'Îäºº-¶«ºþÐÂ¼¼Êõ²úÒµ¿ª·¢Çø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), '³ÏÂõ¿Æ¼¼£¨Îäºº·Ö¹«Ë¾£©¡ªÎäºº³ÏÂõ¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (348, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÉÏº£-ÆÖ¶«ÐÂÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ20ÈË', '09-30·¢²¼'), 'ÉÏº£ÏþÁªÐÅÏ¢¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (349, ('ÊÛÇ°¹¤³ÌÊ¦£¨Python£©', '1.5-2.5Íò/ÔÂ', 'ÉÏº£-ãÉÐÐÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ3ÈË', '09-30·¢²¼'), 'ÉÏº£ÒÕÈüÆìÈí¼þ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (350, ('Python¿ª·¢¹¤³ÌÊ¦ÊµÏ°Éú', '4.5-6Ç§/ÔÂ', 'Î÷°²-±®ÁÖÇø', 'ÔÚÐ£Éú/Ó¦½ìÉú', '±¾¿Æ', 'ÕÐ6ÈË', '09-30·¢²¼'), 'ÂÌÖ®ÄÜ¿Æ¼¼')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (351, ('python¿ª·¢¹¤³ÌÊ¦£¨¼¯³É2053£©', '1-1.5Íò/ÔÂ', '±±¾©-·áÌ¨Çø', '5-7Äê¾­Ñé', '´ó×¨', 'ÕÐ2ÈË', '09-30·¢²¼'), '±±¾©ÄÏÌìÈí¼þÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (352, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.7Íò/ÔÂ', 'ÉîÛÚ-¸£ÌïÇø', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼', ''), 'ÉîÛÚÊÐÁª³©ÐÅÏ¢¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (353, ('²âÊÔ¹¤¾ßÁ´¿ª·¢¹¤³ÌÊ¦£¨Python£©', '2-2.5Íò/ÔÂ', 'ÉÏº£', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ3ÈË', '09-30·¢²¼'), 'AMARISÄ¦ÜÇË¼¿Æ¼¼×ÉÑ¯£¨ÉÏº££©ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (354, ('Python¿ª·¢¹¤³ÌÊ¦', '6-8Ç§/ÔÂ', 'ÖØÇì', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ËÄ´¨ÌìÕ×ÖíÒµ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (355, ('¸ß¼¶Python¿ª·¢¹¤³ÌÊ¦(J10077)', '1.5-2Íò/ÔÂ', 'ÉÏº£-ÆÖ¶«ÐÂÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£°ÙÊ¤Èí¼þ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (356, ('Êý¾Ý·ÖÎö¹¤³ÌÊ¦£¨python£©', '1.2-1.8Íò/ÔÂ', 'ÄÏ¾©-½¨ÚþÇø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), 'ÄÏ¾©°¢±´Ë¹ÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (357, ('Python¿ª·¢¹¤³ÌÊ¦£¨ÊµÏ°£©', '3-4.5Ç§/ÔÂ', '³É¶¼-ÎäºîÇø', 'ÔÚÐ£Éú/Ó¦½ìÉú', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), 'ÍøË¼¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (358, ('Pythonºó¶ËÑÐ·¢¹¤³ÌÊ¦', '0.8-1Íò/ÔÂ', 'ÉÏº£-ÆÕÍÓÇø', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), 'ÉÏº£Å·ÆÕÌ©¿Æ¼¼´´Òµ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (359, ('ÖÐ¼¶Python¿ª·¢¹¤³ÌÊ¦£¨Íâ»ã¸ÚÎ»£©', '1.2-1.6Íò/ÔÂ', 'ÉÏº£-ÆÖ¶«ÐÂÇø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£ÏòÆÕ¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (360, ('Python¿ª·¢¹¤³ÌÊ¦/Èí¼þ¹¤³ÌÊ¦', '1.2-2Íò/ÔÂ', 'º¼ÖÝ-½­¸ÉÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'º¼ÖÝÑÐÒ»ÖÇ¿Ø¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (361, ('Èí¼þ¿ª·¢¹¤³ÌÊ¦£¨Python)339', '0.8-1.5Íò/ÔÂ', 'º¼ÖÝ-½­¸ÉÇø', '2Äê¾­Ñé', '´ó×¨', '', ''), 'ÉîÛÚÊÐ¿ÉÀûÑÇÆóÒµ¹ÜÀí×ÉÑ¯ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (362, ('Java python c++ ±à³Ì½²Ê¦ ÎåÏÕÒ»½ðË«ÐÝ (Ö°Î»±àºÅ£º999)', '0.8-1Íò/ÔÂ', '¼ÃÄÏ', 'ÎÞÐè¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), 'ÉÏº£´ïÄÚÎªÉÏÈí¼þ¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (363, ('Python¿ª·¢¹¤³ÌÊ¦', '4.5-6Ç§/ÔÂ', 'ÄÏ²ý-ÇàÔÆÆ×Çø', '1Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), '½­Î÷Ô£ÌÏÊµÒµ¼¯ÍÅÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (364, ('Python¿ª·¢¹¤³ÌÊ¦', '1-2Íò/ÔÂ', 'º¼ÖÝ', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'º¼ÖÝÍò×ÝÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (365, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ËÕÖÝ-¹¤ÒµÔ°Çø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'Ìì¾ÛµØºÏ£¨ËÕÖÝ£©Êý¾Ý¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (366, ('PythonÈË¹¤ÖÇÄÜ¿ª·¢¹¤³ÌÊ¦ÖúÀí', '4.5-6Ç§/ÔÂ', 'ÄÏ¾©-Óê»¨Ì¨Çø', 'ÔÚÐ£Éú/Ó¦½ìÉú', '´ó×¨', 'ÕÐ10ÈË', '09-30·¢²¼'), 'ÄÏ¾©ºêÑ¶²©¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (367, ('Python¸ß¼¶¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÄÏ¾©-Óê»¨Ì¨Çø', 'ÔÚÐ£Éú/Ó¦½ìÉú', '´ó×¨', '', ''), 'ÓÑ°î×ÊÑ¶¿Æ¼¼£¨¹ãÖÝ£©ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (368, ('Python¿ª·¢¹¤³ÌÊ¦', '1.3-1.8Íò/ÔÂ', 'ÉÏº£-Ðì»ãÇø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), 'Ï²¿Æ£¨ÉÏº££©Èí¼þÏµÍ³ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (369, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1.2Íò/ÔÂ', '¹ãÖÝ-ÌìºÓÇø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), '·äÖúÊÖ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (370, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1Íò/ÔÂ', '¹óÑô', '1Äê¾­Ñé', '´ó×¨', 'ÕÐ2ÈË', '09-30·¢²¼'), 'Î÷°²·½Ïò±êÈËÁ¦×ÊÔ´¹ÜÀíÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (371, ('Python¿ª·¢¹¤³ÌÊ¦', '0.7-1.5Íò/ÔÂ', '¹ãÖÝ-ÌìºÓÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), '±±¾©¹«èª¿Æ¼¼ÓÐÏÞ¹«Ë¾¹ãÖÝ·Ö¹«Ë¾£¨»ÛËãÕË£©')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (372, ('Python¿ª·¢¹¤³ÌÊ¦', '6-8Ç§/ÔÂ', 'ÉÏº£', 'ÔÚÐ£Éú/Ó¦½ìÉú', '´ó×¨', 'ÕÐ2ÈË', '09-30·¢²¼'), 'ÉÏº£Õ¼ÓòÊµÒµÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (373, ('ÑÐ·¢¹¤³ÌÊ¦£¨C++/Python£©', '1-2Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), 'ÄÏÁè¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (374, ('Python¿ª·¢¹¤³ÌÊ¦', '0.6-1.2Íò/ÔÂ', 'ºÏ·Ê-ÊñÉ½Çø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), '°²»Õ×¿ÍþÍ¨ÐÅ¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (375, ('¼±Æ¸c/c++/python/java³õ¼¶¿ª·¢¹¤³ÌÊ¦', '6-8Ç§/ÔÂ', '´óÁ¬-É³ºÓ¿ÚÇø', '1Äê¾­Ñé', '´ó×¨', 'ÕÐ5ÈË', '09-30·¢²¼'), '´óÁ¬ÌìÓîÉÌÎñÐÅÏ¢×ÉÑ¯ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (376, ('python¹¤³ÌÊ¦', '1.3-1.8Íò/ÔÂ', 'ÉÏº£-Ðì»ãÇø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), '°¬Èð×ÉÑ¯¼¯ÍÅ')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (377, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', '¹ãÖÝ-ÌìºÓÇø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), '¹ãÖÝ¼Ä½õ½ÌÓý¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (378, ('PythonÓïÑÔÅàÑµ½²Ê¦', '0.8-1Íò/ÔÂ', '¹ãÖÝ-ÌìºÓÇø', '2Äê¾­Ñé', '±¾¿Æ', '', ''), 'ÑÌÌ¨¾æÁúÎÄ»¯´«Ã½ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (379, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÉÏº£-ÆÖ¶«ÐÂÇø', '1Äê¾­Ñé', '´ó×¨', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), 'ÉÏº£Ë¼»ª¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (380, ('Python¹¤³ÌÊ¦', '2-3Íò/ÔÂ', 'ÉÏº£-Ðì»ãÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÓÎ×åÍøÂç')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (381, ('PythonÑÐ·¢¹¤³ÌÊ¦', '1-2Íò/ÔÂ', 'ÉÏº£-ÇàÆÖÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), 'ÉÏº£¿­ÏèÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (382, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÉîÛÚ-¸£ÌïÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉîÛÚÐÇ¼Ê³¬ÄÔÖÇÄÜÏµÍ³ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (383, ('pythonºó¶Ë¿ª·¢¹¤³ÌÊ¦', '5-8Ç§/ÔÂ', 'ÏÃÃÅ-ºþÀïÇø', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÏÃÃÅÀúË¼¿Æ¼¼·þÎñÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (384, ('Python¿ª·¢¹¤³ÌÊ¦', '1.5-2Íò/ÔÂ', '¶«Ý¸-ËÉÉ½ºþÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ5ÈË', '09-30·¢²¼'), 'ÄÏ¾©ÓèÐ¾¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (385, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', '¶«Ý¸-ËÉÉ½ºþÇø', '3-4Äê¾­Ñé', '±¾¿Æ', '', ''), 'Îäºº³þ¾«ÁéÒ½ÁÆ¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (386, ('pythonÅÀ³æ¹¤³ÌÊ¦', '0.7-1.2Íò/ÔÂ', 'Îäºº-ºéÉ½Çø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ5ÈË', '09-30·¢²¼'), 'ÉîÛÚÊÐ²Æ¸»Ç÷ÊÆ¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (387, ('pythonÅÀ³æ¹¤³ÌÊ¦', '0.8-1.3Íò/ÔÂ', 'Îäºº', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ5ÈË', '09-30·¢²¼'), 'ÉîÛÚÊÐ²Æ¸»Ç÷ÊÆ¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾ÎäººÑÐ·¢ÖÐÐÄ')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (388, ('C/Python/JavaÈí¼þ¹¤³ÌÊ¦', '1.5-2Íò/ÔÂ', 'º¼ÖÝ-±õ½­Çø', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐ5ÈË', '09-30·¢²¼'), 'Õã½­Ê¡¹ú¼ÊÍ¶×Ê·þÎñÖÐÐÄ')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (389, ('Python¸ß¼¶¿ª·¢¹¤³ÌÊ¦', '1-2.5Íò/ÔÂ', 'ÉÏº£', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£°ÙÈ¤ÉúÎïÒ½Ñ§¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (390, ('Python¸ß¼¶¿ª·¢¹¤³ÌÊ¦£¨¼±ÕÐ£©', '1.2-2.4Íò/ÔÂ', 'º¼ÖÝ-Î÷ºþÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), 'º¼ÖÝ²©ÑÅºèÍ¼ÊÓÆµ¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (391, ('Python¿ª·¢¹¤³ÌÊ¦', '0.6-1.2Íò/ÔÂ', 'ÉÏº£', '1Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), '¼«Èý¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (392, ('Python¿ª·¢¹¤³ÌÊ¦', '1.1-2Íò/ÔÂ', 'ÉîÛÚ-¸£ÌïÇø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉîÛÚÕ×ÈÕ¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (393, ('Python¿ª·¢¹¤³ÌÊ¦', '1.2-1.8Íò/ÔÂ', '³É¶¼-¸ßÐÂÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ2ÈË', '09-30·¢²¼'), '³É¶¼ÒÚÃúî£³½¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (394, ('Python', '1-1.5Íò/ÔÂ', 'ÉÏº£-Ðì»ãÇø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'MAX Communication')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (395, ('Python/.NET/RPA¿ª·¢¹¤³ÌÊ¦', '6.5-8Ç§/ÔÂ', 'ÉÏº£-Ðì»ãÇø', '2Äê¾­Ñé', '±¾¿Æ', '', ''), 'ÆÕ»ªÓÀµÀÉÌÎñ·þÎñ£¨³É¶¼£©ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (396, ('ÖÐ¼¶pythonºóÌ¨¿ª·¢', '1.2-1.3Íò/ÔÂ', 'ÉîÛÚ-¸£ÌïÇø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉîÛÚÊÐ¶¦³Û¿Æ¼¼·¢Õ¹ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (397, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1.3Íò/ÔÂ', 'ËÕÖÝ-¸ßÐÂÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÁªÏëÖÐÍûÏµÍ³·þÎñÓÐÏÞ¹«Ë¾£¨ÏÖÔ½ÁÁ´«Ææ¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾£©')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (398, ('Python¿ª·¢¹¤³ÌÊ¦', '0.9-1.4Íò/ÔÂ', '¹ãÖÝ-·¬Ø®Çø', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), '¹ã¶«×Ï¾§ÐÅÏ¢´æ´¢¼¼Êõ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (399, ('pythonÊý¾Ý·ÖÎö¹¤³ÌÊ¦', '0.8-1.8Íò/ÔÂ', '¹ãÖÝ-·¬Ø®Çø', '2Äê¾­Ñé', '±¾¿Æ', '', ''), 'ÉîÛÚÊÐÅ¦´´ÐÅ°²¿Æ¼¼¿ª·¢ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (400, ('Python¿ª·¢¹¤³ÌÊ¦', '1.5-2Íò/ÔÂ', 'ÉîÛÚ-¸£ÌïÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉîÛÚÊÐ¹âÒÝ¿Æ¼¼´´ÐÂÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (401, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.8Íò/ÔÂ', 'ÄÏ¾©-Óê»¨Ì¨Çø', 'ÕÐ3ÈË', '09-30·¢²¼', '', ''), 'ÄÏ¾©Çæ¶ÜÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (402, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1.2Íò/ÔÂ', 'ÉÏº£-ÑîÆÖÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£Å·ÈñÐÅÏ¢×ÉÑ¯ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (403, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'ÉîÛÚ', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), '±±¾©Ë¹ÆÕÐÅÐÅÏ¢¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (404, ('¸ß¼¶Èí¼þ¹¤³ÌÊ¦  Golang/Python', '2-6Íò/ÔÂ', 'ÉîÛÚ', '3-4Äê¾­Ñé', '±¾¿Æ', '', ''), 'ÂõÎ¤ÄáÍ¨Ñ¶¼¼Êõ£¨ÉÏº££©ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (405, ('Python¿ª·¢¹¤³ÌÊ¦', '2-2.5Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '09-30·¢²¼'), '¹ã¶«Ê¢µÏ¼Î¼¯ÍÅÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (406, ('PythonÊý¾Ý·ÖÎöÊ¦£¨ÉÏ°àµØµã£ºÇàº£-Î÷ÄþÊÐ£©', '0.8-1.3Íò/ÔÂ', 'Î÷Äþ', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉÏº£ºÚÍ«ÐÅÏ¢¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (407, ('Python¿ª·¢¹¤³ÌÊ¦', '0.8-1.5Íò/ÔÂ', '¹ãÖÝ-º£ÖéÇø', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐÈô¸ÉÈË', '09-30·¢²¼'), '¹ã¶«ÁªÍ¨Í¨ÐÅ½¨ÉèÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (408, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', '±±¾©-º£µíÇø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'Õã½­»ªÖÎÊý¾Û¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:41:08 $(filename)s : INFO (409, ('Python¿ª·¢¹¤³ÌÊ¦', '1.5-3Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '09-30·¢²¼'), 'ÉîÛÚÊÐÀÖÒ×ÍøÂç¹É·ÝÓÐÏÞ¹«Ë¾')
